trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'e': 0.8370337015507917, 'a': 0.8}",20,0,-21.740371392641645,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
61,False,"{'e': 0.8320014077800111, 'a': 0.8}",20,1,-1.931538821355841,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'e': 0.8269162564054459, 'a': 0.8}",35,13,-38.52175030291621,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
63,False,"{'e': 0.8217795894648647, 'a': 0.8}",30,0,-112.27937297832409,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
64,False,"{'e': 0.8165927562104012, 'a': 0.8}",20,0,-48.30822719265535,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
65,False,"{'e': 0.8113571125230499, 'a': 0.8}",20,0,-93.34596203995258,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
66,False,"{'e': 0.8060740203275095, 'a': 0.8}",20,0,-67.30913670711868,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'e': 0.8007448470077205, 'a': 0.8}",25,0,-58.07094100976325,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
68,False,"{'e': 0.7953709648234447, 'a': 0.8}",25,8,-122.99245074034417,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
69,False,"{'e': 0.7899537503282313, 'a': 0.8}",25,0,-83.04395338044226,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'e': 0.7844945837891096, 'a': 0.8}",25,7,-41.99065304027681,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
71,False,"{'e': 0.7789948486083447, 'a': 0.8}",20,9,-62.577123713449794,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 1}",1
72,False,"{'e': 0.7734559307475909, 'a': 0.8}",35,0,-91.67072989557285,"{0: 26, 1: 5, 2: 2, 3: 0, 4: 2}",1
73,False,"{'e': 0.7678792181547716, 'a': 0.8}",35,0,-183.5894795101342,"{0: 25, 1: 1, 2: 5, 3: 0, 4: 4}",0
74,False,"{'e': 0.7622661001940105, 'a': 0.8}",20,0,-89.62185019660177,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
75,False,"{'e': 0.7566179670789367, 'a': 0.8}",30,0,-63.47620548490944,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
76,False,"{'e': 0.7509362093096765, 'a': 0.8}",20,0,-99.5202023718624,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
77,False,"{'e': 0.7452222171138474, 'a': 0.8}",35,0,-122.73592527841384,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
78,False,"{'e': 0.7394773798918564, 'a': 0.8}",20,15,-1.7518428826216494,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
